Longueur d'onde (nm),Absorbance,Tension reference (Volt),Tension echantillon (Volt),pas de vis (mm)
410.0,0.014306638812420941,100.6,97.34,14.90099937539038
408.99999999999994,-0.004722797653490217,97.86,98.93,14.932229856339788
408.0,0.009647020149462096,100.6,98.39,14.963460337289193
407.0,0.004802259727817442,100.03,98.93,14.9946908182386
406.0,-0.012100789423549443,98.39,101.17,15.025921299188006
405.0,-0.009647020149462102,98.39,100.6,15.057151780137414
403.99999999999994,0.021567166451077514,101.76,96.83,15.08838226108682
403.0,-0.0023457491465270065,97.86,98.39,15.119612742036226
402.0,-0.002453769274087288,100.6,101.17,15.150843222985634
401.0,-0.004659618662958827,97.34,98.39,15.182073703935039
400.0,0.012249089226929095,101.76,98.93,15.213304184884446
