Longueur d'onde (nm),Tension photodiode 1 (Volt),Tension photodiode 2 (Volt),pas de vis (mm)
800.0,-0.11741629204312387,-0.0034096401921619953,0.0665
797.931570761845,-0.11460900400468535,-0.0034177303616819963,0.133
795.86314152369,-0.10596870519043174,-0.003547173071496888,0.1995
793.794712285535,-0.07528269494369319,-0.051618954339595624,0.266
791.72628304738,-0.08302498498761549,-0.11072572370691217,0.3325
789.657853809225,-0.047800392550516116,-0.0021475737603380398,0.399
787.58942457107,-0.005755789326524452,-0.0017835161347986464,0.4655
785.520995332915,-0.005585895769632468,-0.002171844269455327,0.532
783.45256609476,-0.005731518818404269,-0.04737970500759154,0.5985
781.384136856605,-0.15755161018963562,-0.11757809537677459,0.665
779.31570761845,-0.1643878008544952,-0.12447900800319556,0.7315
777.247278380295,-0.17958922345733966,-0.13527938103551115,0.798
775.17884914214,-0.1780035509515073,-0.1350124055435274,0.8645
773.110419903985,-0.1713372538505084,-0.12761799287827677,0.931
771.04199066583,-0.1803335188317802,-0.13090260068785142,0.9975
768.973561427675,-0.194539850514509,-0.1426171623685385,1.064
766.90513218952,-0.20229831975617385,-0.14932391058663147,1.1305
764.8367029513649,-0.21216023185604665,-0.15808556112169334,1.197
762.76827371321,-0.24608229599732553,-0.18642541396679121,1.2635
760.699844475055,-0.3041292297934453,-0.23233710493613263,1.33
758.6314152369,-0.26067695419016346,-0.1968698183914349,1.3965
756.562985998745,-0.23199731804133933,-0.1757868453425732,1.463
754.4945567605901,-0.22783088269343538,-0.16776949044632922,1.5295
752.426127522435,-0.23109121941501193,-0.17782556725439752,1.596
750.35769828428,-0.2376280732346118,-0.17978338748504735,1.6625
748.289269046125,-0.24947207527419443,-0.19009025922924158,1.729
746.22083980797,-0.2608872983564261,-0.19847976135551207,1.7955
