Longueur d'onde (nm),Tension photodiode 1 (Volt),Tension photodiode 2 (Volt),pas de vis (mm)
800.0,-0.9907710758355449,-0.8631622152258093,0.065
797.97822706045,-1.2800215277898879,-1.121777831387017,0.13
795.9564541209,-2.038556970182152,-1.8149980113257171,0.195
793.93468118135,-0.9922812404239405,-0.8566900841079578,0.26
791.9129082418,-0.7038399317339242,-0.6418153490264076,0.325
789.89113530225,-0.6752007546609177,-0.5626396212479012,0.39
787.8693623627,-0.6375545298967819,-0.5535247043423218,0.455
785.84758942315,-0.6149560081829564,-0.5415512630717657,0.52
783.8258164836,-0.5828650286336273,-0.5088130698753337,0.585
781.80404354405,-0.5781727341624945,-0.47742323662490643,0.6499999999999999
779.7822706045,-0.5368589684515969,-0.47434897444388685,0.7150000000000001
777.76049766495,-0.5227281502238925,-0.46140471326701255,0.78
775.7387247254,-0.49301028451749174,-0.45752143487186697,0.845
773.71695178585,-0.5447333938934674,-0.45423143507935926,0.9099999999999999
771.6951788463,-0.49479012029955904,-0.45687422187163823,0.9750000000000001
769.67340590675,-0.5014779884584826,-0.43454537055910425,1.04
767.6516329672,-0.5330296246545885,-0.44430750132259056,1.105
765.62986002765,-0.5233214289041465,-0.4340599605785426,1.17
763.6080870881,-0.5340004441229392,-0.4574675002336855,1.2349999999999999
761.58631414855,-0.5264496251336076,-0.49036749788703743,1.3
759.564541209,-0.5757456852390604,-0.4671217619504791,1.365
757.54276826945,-0.6126368281629109,-0.5265035598653842,1.43
755.5209953299,-0.6268755148734837,-0.5345937228877876,1.495
753.49922239035,-0.7017364892077801,-0.5630710965084005,1.56
751.4774494508,-0.8405097570280384,-0.7007117352660058,1.625
749.45567651125,-0.8794504119504626,-0.7429963207812867,1.69
747.4339035717001,-0.7658105811128317,-0.6192707617326825,1.755
745.41213063215,-0.8222259874313146,-0.6955340309614124,1.82
743.3903576926,-1.0201114088846184,-0.8520517235248258,1.885
741.36858475305,-1.0512315796982756,-0.875135657830453,1.95
739.3468118135,-1.50260915096254,-1.2704211925227202,2.015
737.32503887395,-0.8445009041391529,-0.7148425533249801,2.08
735.3032659344,-0.7178628807979233,-0.5952699451297141,2.145
733.2814929948499,-0.6264979739420627,-0.5705679809819837,2.21
731.2597200553,-0.6687286243194707,-0.5286609365130125,2.275
729.23794711575,-0.6358825629018429,-0.5593496216476898,2.34
727.2161741762,-0.670184853685447,-0.5817324058511083,2.405
725.19440123665,-0.6552450195130485,-0.5779030620476527,2.47
723.1726282971,-0.6766030496025305,-0.56668470267526,2.535
721.15085535755,-0.6706702635027074,-0.5327599526190159,2.6
719.129082418,-0.6784907543128992,-0.5799525699808583,2.665
717.10730947845,-0.7157055040326425,-0.5769861768275439,2.73
715.0855365389,-0.7364163214540932,-0.6028746981527665,2.795
713.06376359935,-0.7023297680282076,-0.5680330632399057,2.86
711.0419906598,-0.7034084563825199,-0.584806667667173,2.9250000000000003
709.02021772025,-0.7178628812330773,-0.622614695728516,2.99
706.9984447807,-0.7448300911837361,-0.6853943599639795,3.055
704.9766718411499,-0.6986082930122607,-0.5872876510581131,3.12
702.9548989016,-0.7028691122777309,-0.6263361706696507,3.185
700.93312596205,-0.7596620568648862,-0.6099401071769178,3.25
698.9113530225,-0.7242271428028543,-0.615225680294912,3.315
696.88958008295,-0.7824763174142109,-0.6375005954872811,3.38
694.8678071434,-0.7689387778188865,-0.6684050178293388,3.445
692.84603420385,-0.7572889424020106,-0.6734748533198429,3.5100000000000002
690.8242612643,-0.7971464805703349,-0.6473166599658601,3.575
688.80248832475,-0.8387299206837744,-0.6747153449151534,3.64
686.7807153852,-0.8671533630031738,-0.7266002570220755,3.705
684.75894244565,-0.8641869695631424,-0.7554012384619898,3.77
682.7371695061,-0.9380771359688937,-0.8043736930241372,3.835
680.71539656655,-0.9293397579274068,-0.7641925483753932,3.9
678.693623627,-0.8350084465170161,-0.7473650094812424,3.9650000000000003
676.6718506874499,-0.8167246763114008,-0.7736850068579546,4.03
674.6500777479,-0.8715759856827606,-0.8072861520571749,4.095000000000001
672.62830480835,-0.9119728722059817,-0.8198528722805848,4.16
670.6065318688,-0.925186807477985,-0.829938610297559,4.2250000000000005
668.58475892925,-0.9768559923126793,-0.7995195953037054,4.290000000000001
666.5629859897,-1.0021512416428067,-0.8858686090610695,4.355
664.54121305015,-0.9494573013654181,-0.8464964786622332,4.420000000000001
662.5194401106,-1.0346197726601303,-0.898812871322831,4.485
660.49766717105,-1.0113200983609463,-0.924485659430038,4.550000000000001
658.4758942315,-1.0636365025607921,-0.942337956552172,4.615
656.4541212919501,-1.0527417472809344,-1.0015579633445675,4.680000000000001
654.4323483524,-1.1547857159445216,-1.000101735386953,4.745
652.41057541285,-1.2936130140407933,-1.0830529006100484,4.8100000000000005
650.3888024733,-1.1943736042179955,-1.0230778062185142,4.875000000000001
648.36702953375,-1.1926477056792741,-1.0561935483983849,4.94
646.3452565942,-1.2183744365924938,-1.0662253550771268,5.005000000000001
644.32348365465,-1.136555872190252,-1.0120751788984956,5.07
642.3017107151,-1.1567812899446197,-1.0353209217879822,5.135000000000001
640.27993777555,-1.2705829985273003,-1.1422189878718374,5.2
638.258164836,-1.2252780510788768,-1.1340748889950485,5.265000000000001
636.23639189645,-1.3860027820582637,-1.242806760673296,5.330000000000001
634.2146189569,-1.424188390670565,-1.3117349962736062,5.3950000000000005
632.19284601735,-1.3708471842470098,-1.2863857949345407,5.460000000000001
630.1710730778,-1.3765103072251506,-1.2180508382427504,5.525
