,Tension échantillon (Volt),Tension blanc (Volt),Longueur donde,log
,-0.0000107,0.0000672,1,0.797985495368616
,0.0000672,0.0000672,2,0
,-0.0000107,0.0000672,3,0.797985495368616
,-0.0000107,-0.0000107,4,0
,-0.0000886,0.0000672,5,-0.120064448833226
,-0.0000107,-0.0000107,6,0
,0.0000672,0.0000672,7,0
,-0.0000886,0.0000672,8,-0.120064448833226
,-0.0000886,-0.0000886,9,0
,-0.0001666,-0.0000886,10,-0.274241275183718
,-0.0000886,-0.0001666,11,0.274241275183718
,-0.0000886,-0.0001666,12,0.274241275183718
,-0.0001666,-0.0001666,13,0
,-0.0001666,-0.0001666,14,0
,-0.0000886,-0.0001666,15,0.274241275183718
,-0.0001666,-0.0001666,16,0
,-0.0000886,-0.0001666,17,0.274241275183718
,-0.0001666,-0.0002445,18,0.16660386638887
,-0.0000886,-0.0001666,19,0.274241275183718
,-0.0000886,-0.0003225,20,0.561095997084236
,-0.0002445,-0.0003225,21,0.120250855511647
,-0.0000886,-0.0003225,22,0.561095997084236
,-0.0001666,-0.0003225,23,0.286854721900518
,-0.0000886,-0.0003225,24,0.561095997084236
,-0.0000886,-0.0004004,25,0.65506034692023
,-0.0001666,-0.0004783,26,0.458025383801195
,-0.0001666,-0.0005563,27,0.523634062870059
,-0.0001666,-0.0004783,28,0.458025383801195
,-0.0002445,-0.0004783,29,0.291421517412325
,-0.0002445,-0.0004783,30,0.291421517412325
,-0.0002445,-0.0006342,31,0.413947374231431
,-0.0003225,-0.0006342,32,0.293696518719783
,-0.0003225,-0.0007122,33,0.344072250366948
,-0.0003225,-0.0007122,34,0.344072250366948
,-0.0004004,-0.0007122,35,0.250107900530954
,-0.0004783,-0.000868,36,0.258819344304528
,-0.0004783,-0.0007901,37,0.217981680924456
,-0.0004783,-0.000868,38,0.258819344304528
,-0.0005563,-0.000868,39,0.193210665235664
,-0.0007122,-0.0010239,40,0.157655573660066
,-0.0007901,-0.000946,41,0.0782090746053729
,-0.000946,-0.0011019,42,0.0662510466631635
,-0.0010239,-0.0011019,43,0.031884640066655
,-0.0011019,-0.0011019,44,0
,-0.0011019,-0.0012577,45,0.0574348778517522
,-0.0012577,-0.0012577,46,0
,-0.0014136,-0.0013357,47,-0.0246176105260548
,-0.0014915,-0.0014136,48,-0.0232967211993738
,-0.0014915,-0.0014915,49,0
,-0.0016474,-0.0015695,50,-0.0210377416116041
,-0.0018033,-0.0015695,51,-0.060306662652218
,-0.0018812,-0.0016474,52,-0.0576359084263765
,-0.0019592,-0.0017254,53,-0.055188978414796
,-0.0020371,-0.0018033,54,-0.0529443660871477
,-0.0021151,-0.0018812,55,-0.0508959351696537
,-0.0022709,-0.0020371,56,-0.0471856615322022
,-0.0022709,-0.0020371,57,-0.0471856615322022
,-0.0024268,-0.0020371,58,-0.0760216374965837
,-0.0025048,-0.0021151,59,-0.0734421493651633
,-0.0025048,-0.0022709,60,-0.0425750443012298
,-0.0025048,-0.0022709,61,-0.0425750443012298
,-0.0025827,-0.0023489,62,-0.0412094346371563
,-0.0027386,-0.0023489,63,-0.0666640759203161
,-0.0026606,-0.0025048,64,-0.0262065321369495
,-0.0028165,-0.0025827,65,-0.0376357930338491
,-0.0029724,-0.0025827,66,-0.0610332900959413
,-0.0029724,-0.0027386,67,-0.0355786488127815
,-0.0030503,-0.0027386,68,-0.0468139509154064
,-0.0030503,-0.0028945,69,-0.0227690008332644
,-0.0030503,-0.0029724,70,-0.0112353021026249
,-0.0031283,-0.0029724,71,-0.0222011420411541
,-0.0031283,-0.0030503,72,-0.0109658399385292
,-0.0032062,-0.0031283,73,-0.0106822151049675
,-0.0032842,-0.0032062,74,-0.0104389869782875
,-0.0033621,-0.0033621,75,0
,-0.0032842,-0.00344,76,0.0201288458136591
,-0.0033621,-0.003518,77,0.0196852084682235
,-0.0032842,-0.0035959,78,0.039378008980723
,-0.0033621,-0.0035959,79,0.029196979085375
,-0.0032842,-0.0036739,80,0.0486977342975911
,-0.0032842,-0.0037518,81,0.0578100823064412
,-0.0032062,-0.0037518,82,0.0682490692847287
,-0.0031283,-0.0037518,83,0.0789312843896962
,-0.0031283,-0.0038297,84,0.0878563601171101
,-0.0030503,-0.0039077,85,0.107578660150552
,-0.0031283,-0.0039077,86,0.0966128202120226
