Longueur d'onde (nm),Tension blanc (Volt)
400.0,-0.0001666
401.3461,-0.0001666
402.6922,-8.86e-05
404.0383,-8.86e-05
405.3844,-0.0001666
406.7305,-8.86e-05
408.0766,-8.86e-05
409.4227,-8.86e-05
410.7688,-0.0001666
412.1149,-8.86e-05
413.461,-8.86e-05
414.8071,-8.86e-05
416.1532,-8.86e-05
417.4993,-8.86e-05
418.8454,-0.0001666
420.1915,-0.0001666
421.5376,-8.86e-05
422.88370000000003,-8.86e-05
424.2298,-8.86e-05
425.5759,-8.86e-05
426.922,-8.86e-05
428.2681,6.72e-05
429.61420000000004,-0.0001666
430.9603,-8.86e-05
432.3064,-0.0001666
433.65250000000003,-8.86e-05
434.9986,-8.86e-05
436.34470000000005,-0.0001666
437.6908,-0.0001666
439.0369,-0.0001666
440.38300000000004,-0.0001666
441.7291,-0.0001666
443.0752,-0.0001666
444.42130000000003,-8.86e-05
445.7674,-0.0001666
447.1135,-8.86e-05
448.4596,-0.0001666
449.8057,-8.86e-05
451.1518,-0.0002445
452.4979,-0.0002445
453.844,-0.0002445
455.1901,-0.0002445
456.5362,-0.0001666
457.8823,-0.0001666
459.22839999999997,-0.0002445
460.57449999999994,-0.0002445
461.9206,-0.0002445
463.26669999999996,-0.0002445
464.6128,-0.0002445
465.95889999999997,-0.0002445
467.30499999999995,-0.0002445
468.65109999999993,-0.0003225
469.99719999999996,-0.0002445
471.34329999999994,-0.0003225
472.6894,-0.0002445
474.03549999999996,-0.0003225
475.38159999999993,-0.0004004
476.7276999999999,-0.0003225
478.07379999999995,-0.0003225
479.4198999999999,-0.0004004
480.76599999999996,-0.0004004
482.11209999999994,-0.0003225
483.4582,-0.0004783
484.80429999999996,-0.0005563
486.1504,-0.0004783
487.49649999999997,-0.0004783
488.8426,-0.0005563
490.1887,-0.0005563
491.5348,-0.0005563
492.8809,-0.0006342
494.227,-0.0006342
495.5731,-0.0007122
496.91920000000005,-0.0007901
498.2653,-0.0007901
499.6114,-0.0007901
500.95750000000004,-0.0007901
502.3036000000001,-0.000868
503.64970000000005,-0.0007901
504.99580000000003,-0.000868
506.34190000000007,-0.000946
507.68800000000005,-0.000946
509.0341000000001,-0.000946
510.38020000000006,-0.0010239
511.7263000000001,-0.0011019
513.0724000000001,-0.0011798
514.4185000000001,-0.0011019
515.7646000000001,-0.0011798
517.1107000000001,-0.0011798
518.4568000000002,-0.0011019
519.8029000000001,-0.0012577
521.1490000000001,-0.0012577
522.4951000000001,-0.0012577
523.8412000000001,-0.0012577
525.1873000000002,-0.0013357
526.5334000000001,-0.0014136
527.8795000000001,-0.0014136
529.2256000000002,-0.0014915
530.5717000000002,-0.0015695
531.9178000000002,-0.0016474
533.2639000000001,-0.0017254
534.6100000000001,-0.0018033
535.9561000000002,-0.0020371
537.3022000000002,-0.0021151
538.6483000000002,-0.0022709
539.9944000000002,-0.0022709
541.3405000000002,-0.0024268
542.6866000000002,-0.0024268
544.0327000000002,-0.0025827
545.3788000000002,-0.0025827
546.7249000000002,-0.0026606
548.0710000000003,-0.0027386
549.4171000000002,-0.0027386
550.7632000000002,-0.0028165
552.1093000000003,-0.0028945
553.4554000000003,-0.0028945
554.8015000000003,-0.0028945
556.1476000000002,-0.0030503
557.4937000000002,-0.0030503
558.8398000000003,-0.0030503
560.1859000000003,-0.0031283
561.5320000000003,-0.0031283
562.8781000000004,-0.0031283
564.2242000000003,-0.0032062
565.5703000000003,-0.0032062
566.9164000000003,-0.0032842
568.2625000000003,-0.0032062
569.6086000000003,-0.0031283
570.9547000000003,-0.0032842
572.3008000000003,-0.0033621
573.6469000000003,-0.00344
574.9930000000004,-0.003518
576.3391000000004,-0.0035959
577.6852000000003,-0.0035959
579.0313000000003,-0.0035959
580.3774000000003,-0.0036739
581.7235000000004,-0.0037518
583.0696000000004,-0.0037518
584.4157000000004,-0.0038297
585.7618000000004,-0.0038297
587.1079000000004,-0.0038297
588.4540000000004,-0.0039856
589.8001000000004,-0.0039856
591.1462000000004,-0.0039856
592.4923000000003,-0.0041414
593.8384000000004,-0.0037518
595.1845000000004,-0.0035959
596.5306000000004,-0.0035959
597.8767000000005,-0.0035959
599.2228000000005,-0.0036739
600.5689000000004,-0.0037518
601.9150000000004,-0.0036739
603.2611000000004,-0.0038297
604.6072000000005,-0.0038297
605.9533000000005,-0.0039077
607.2994000000004,-0.0039077
608.6455000000005,-0.0039077
609.9916000000005,-0.0039856
611.3377000000005,-0.0040635
612.6838000000005,-0.0039856
614.0299000000005,-0.0040635
615.3760000000005,-0.0039856
616.7221000000005,-0.0039856
618.0682000000005,-0.0042194
619.4143000000005,-0.0046091
620.7604000000006,-0.0046871
622.1065000000006,-0.0045311
623.4526000000005,-0.0042974
