Longueur d'onde (nm),Tension échantillon (Volt)
400.0,-1.07e-05
401.3461,-0.0001666
402.6922,-0.0001666
404.0383,-0.0001666
405.3844,-0.0001666
406.7305,-0.0001666
408.0766,-8.86e-05
409.4227,-8.86e-05
410.7688,-8.86e-05
412.1149,-8.86e-05
413.461,-8.86e-05
414.8071,-8.86e-05
416.1532,-0.0001666
417.4993,-8.86e-05
418.8454,-8.86e-05
420.1915,-8.86e-05
421.5376,-8.86e-05
422.88370000000003,-8.86e-05
424.2298,-8.86e-05
425.5759,-0.0001666
426.922,-0.0001666
428.2681,-0.0001666
429.61420000000004,-8.86e-05
430.9603,-8.86e-05
432.3064,-0.0001666
433.65250000000003,-0.0001666
434.9986,-0.0001666
436.34470000000005,-8.86e-05
437.6908,-8.86e-05
439.0369,-0.0002445
440.38300000000004,-0.0001666
441.7291,-0.0001666
443.0752,-0.0002445
444.42130000000003,-0.0002445
445.7674,-8.86e-05
447.1135,-0.0002445
448.4596,-0.0002445
449.8057,-0.0002445
451.1518,-0.0002445
452.4979,-0.0002445
453.844,-0.0001666
455.1901,-0.0003225
456.5362,-0.0003225
457.8823,-0.0003225
459.22839999999997,-0.0003225
460.57449999999994,-0.0003225
461.9206,-0.0002445
463.26669999999996,-0.0002445
464.6128,-0.0003225
465.95889999999997,-0.0003225
467.30499999999995,-0.0002445
468.65109999999993,-0.0004004
469.99719999999996,-0.0003225
471.34329999999994,-0.0003225
472.6894,-0.0003225
474.03549999999996,-0.0003225
475.38159999999993,-0.0004004
476.7276999999999,-0.0004004
478.07379999999995,-0.0004004
479.4198999999999,-0.0004783
480.76599999999996,-0.0005563
482.11209999999994,-0.0005563
483.4582,-0.0006342
484.80429999999996,-0.0007901
486.1504,-0.000868
487.49649999999997,-0.000946
488.8426,-0.000946
490.1887,-0.0011019
491.5348,-0.0011019
492.8809,-0.0011798
494.227,-0.0012577
495.5731,-0.0013357
496.91920000000005,-0.0013357
498.2653,-0.0014915
499.6114,-0.0014136
500.95750000000004,-0.0014915
502.3036000000001,-0.0015695
503.64970000000005,-0.0015695
504.99580000000003,-0.0016474
506.34190000000007,-0.0015695
507.68800000000005,-0.0017254
509.0341000000001,-0.0017254
510.38020000000006,-0.0017254
511.7263000000001,-0.0017254
513.0724000000001,-0.0018033
514.4185000000001,-0.0018033
515.7646000000001,-0.0018033
517.1107000000001,-0.0018033
518.4568000000002,-0.0017254
519.8029000000001,-0.0018033
521.1490000000001,-0.0017254
522.4951000000001,-0.0017254
523.8412000000001,-0.0016474
525.1873000000002,-0.0015695
526.5334000000001,-0.0016474
527.8795000000001,-0.0016474
529.2256000000002,-0.0015695
530.5717000000002,-0.0016474
531.9178000000002,-0.0014915
533.2639000000001,-0.0015695
534.6100000000001,-0.0016474
535.9561000000002,-0.0015695
537.3022000000002,-0.0015695
538.6483000000002,-0.0015695
539.9944000000002,-0.0014915
541.3405000000002,-0.0013357
542.6866000000002,-0.0013357
544.0327000000002,-0.0012577
545.3788000000002,-0.0011798
546.7249000000002,-0.0011019
548.0710000000003,-0.000946
549.4171000000002,-0.0010239
550.7632000000002,-0.000868
552.1093000000003,-0.0006342
553.4554000000003,-0.0006342
554.8015000000003,-0.0005563
556.1476000000002,-0.0005563
557.4937000000002,-0.0004783
558.8398000000003,-0.0004004
560.1859000000003,-0.0004004
561.5320000000003,-0.0002445
562.8781000000004,-0.0002445
564.2242000000003,-0.0003225
565.5703000000003,-0.0002445
566.9164000000003,-0.0002445
568.2625000000003,-0.0002445
569.6086000000003,-0.0002445
570.9547000000003,-0.0001666
572.3008000000003,-0.0001666
573.6469000000003,-0.0001666
574.9930000000004,-0.0002445
576.3391000000004,-0.0001666
577.6852000000003,-0.0001666
579.0313000000003,-0.0001666
580.3774000000003,-0.0001666
581.7235000000004,-8.86e-05
583.0696000000004,-8.86e-05
584.4157000000004,-0.0001666
585.7618000000004,-0.0001666
587.1079000000004,-0.0001666
588.4540000000004,-8.86e-05
589.8001000000004,-8.86e-05
591.1462000000004,-0.0001666
592.4923000000003,-8.86e-05
593.8384000000004,-0.0001666
595.1845000000004,-0.0001666
596.5306000000004,-0.0001666
