Longueur d'onde (nm),Tension échantillon (Volt)
400.0,6.72e-05
401.3461,6.72e-05
402.6922,6.72e-05
404.0383,0.0001452
405.3844,0.0001452
406.7305,6.72e-05
408.0766,6.72e-05
409.4227,6.72e-05
410.7688,6.72e-05
412.1149,6.72e-05
413.461,0.0001452
414.8071,0.0002231
416.1532,0.0001452
417.4993,0.0002231
418.8454,0.0002231
420.1915,0.0001452
421.5376,0.0001452
422.88370000000003,0.0001452
424.2298,0.0002231
425.5759,6.72e-05
426.922,0.0001452
428.2681,0.0001452
429.61420000000004,0.0002231
430.9603,0.0001452
432.3064,0.0001452
433.65250000000003,0.0001452
434.9986,0.0002231
436.34470000000005,0.0002231
437.6908,0.0003011
439.0369,0.0002231
440.38300000000004,0.0001452
441.7291,0.0001452
443.0752,0.0001452
444.42130000000003,0.0001452
445.7674,6.72e-05
447.1135,6.72e-05
448.4596,-1.07e-05
449.8057,6.72e-05
451.1518,-8.86e-05
452.4979,-8.86e-05
453.844,-8.86e-05
455.1901,-8.86e-05
456.5362,-0.0001666
457.8823,-8.86e-05
459.22839999999997,-0.0001666
460.57449999999994,-0.0003225
461.9206,-0.0004004
463.26669999999996,-0.0004783
464.6128,-0.0004004
465.95889999999997,-0.0004783
467.30499999999995,-0.0004004
468.65109999999993,-0.0004004
469.99719999999996,-0.0004004
471.34329999999994,-0.0004783
472.6894,-0.0004004
474.03549999999996,-0.0005563
475.38159999999993,-0.0005563
476.7276999999999,-0.0005563
478.07379999999995,-0.0006342
479.4198999999999,-0.0006342
480.76599999999996,-0.0007122
482.11209999999994,-0.0007901
483.4582,-0.000868
484.80429999999996,-0.000946
486.1504,-0.0010239
487.49649999999997,-0.0012577
488.8426,-0.0015695
490.1887,-0.0017254
491.5348,-0.0019592
492.8809,-0.0022709
494.227,-0.0025048
495.5731,-0.0028165
496.91920000000005,-0.0031283
498.2653,-0.00344
499.6114,-0.0038297
500.95750000000004,-0.0039856
502.3036000000001,-0.0042974
503.64970000000005,-0.0045311
504.99580000000003,-0.0048429
506.34190000000007,-0.0050768
507.68800000000005,-0.0053105
509.0341000000001,-0.0055444
510.38020000000006,-0.0057002
511.7263000000001,-0.0059341
513.0724000000001,-0.0060899
514.4185000000001,-0.0062459
515.7646000000001,-0.0065576
517.1107000000001,-0.0067134
518.4568000000002,-0.0067914
519.8029000000001,-0.0069473
521.1490000000001,-0.0071031
522.4951000000001,-0.007259
523.8412000000001,-0.007259
525.1873000000002,-0.007337
526.5334000000001,-0.0074149
527.8795000000001,-0.0074149
529.2256000000002,-0.0074928
530.5717000000002,-0.007337
531.9178000000002,-0.0071031
533.2639000000001,-0.0070252
534.6100000000001,-0.0071031
535.9561000000002,-0.0070252
537.3022000000002,-0.0070252
538.6483000000002,-0.0070252
539.9944000000002,-0.0071031
541.3405000000002,-0.007259
542.6866000000002,-0.007337
