Longueur d'onde (nm),Tension blanc (Volt)
400.0,0.0006128
401.3461,0.0006128
402.6922,0.0006128
404.0383,0.0005349
405.3844,0.0006128
406.7305,0.0006128
408.0766,0.0006128
409.4227,0.0005349
410.7688,0.0005349
412.1149,0.0005349
413.461,0.0006128
414.8071,0.0006908
416.1532,0.0007687
417.4993,0.0006128
418.8454,0.0006908
420.1915,0.0006908
421.5376,0.0006908
422.88370000000003,0.0006908
424.2298,0.0006908
425.5759,0.0006908
426.922,0.0006908
428.2681,0.0006128
429.61420000000004,0.0006128
430.9603,0.0006128
432.3064,0.0006128
433.65250000000003,0.0006128
434.9986,0.0006128
436.34470000000005,0.0006128
437.6908,0.0006128
439.0369,0.0006128
440.38300000000004,0.0005349
441.7291,0.000379
443.0752,0.0005349
444.42130000000003,0.0006128
445.7674,0.0005349
447.1135,0.0004569
448.4596,0.0004569
449.8057,0.0004569
451.1518,0.000379
452.4979,0.0004569
453.844,0.000379
455.1901,0.000379
456.5362,0.0003011
457.8823,0.0002231
459.22839999999997,0.0002231
460.57449999999994,-8.86e-05
461.9206,-0.0002445
463.26669999999996,-0.0002445
464.6128,-0.0004004
465.95889999999997,-0.0004783
467.30499999999995,-0.0004004
468.65109999999993,-0.0005563
469.99719999999996,-0.0004783
471.34329999999994,-0.0006342
472.6894,-0.0007901
474.03549999999996,-0.000868
475.38159999999993,-0.0010239
476.7276999999999,-0.0011019
478.07379999999995,-0.0012577
479.4198999999999,-0.0014136
480.76599999999996,-0.0014915
482.11209999999994,-0.0016474
483.4582,-0.0017254
484.80429999999996,-0.0017254
486.1504,-0.0020371
487.49649999999997,-0.0022709
488.8426,-0.0024268
490.1887,-0.0025827
491.5348,-0.0028165
492.8809,-0.0029724
494.227,-0.0032842
495.5731,-0.00344
496.91920000000005,-0.0036739
498.2653,-0.0039077
499.6114,-0.0041414
500.95750000000004,-0.0043753
502.3036000000001,-0.0046871
503.64970000000005,-0.0049208
504.99580000000003,-0.0052326
506.34190000000007,-0.0054665
507.68800000000005,-0.0057782
509.0341000000001,-0.0060899
510.38020000000006,-0.0062459
511.7263000000001,-0.0064796
513.0724000000001,-0.0067914
514.4185000000001,-0.0070252
515.7646000000001,-0.007337
517.1107000000001,-0.0076487
518.4568000000002,-0.0078825
519.8029000000001,-0.0082722
521.1490000000001,-0.0085061
522.4951000000001,-0.0088178
523.8412000000001,-0.0090516
525.1873000000002,-0.0093634
526.5334000000001,-0.0095972
527.8795000000001,-0.009831
529.2256000000002,-0.0101427
530.5717000000002,-0.0102207
531.9178000000002,-0.0101427
533.2639000000001,-0.0103766
534.6100000000001,-0.0106104
535.9561000000002,-0.0110001
537.3022000000002,-0.0115457
538.6483000000002,-0.0120133
539.9944000000002,-0.0126368
541.3405000000002,-0.0134941
542.6866000000002,-0.0142735
544.0327000000002,-0.0152867
545.3788000000002,-0.016222
546.7249000000002,-0.0173911
548.0710000000003,-0.0183263
549.4171000000002,-0.0192616
550.7632000000002,-0.0201969
552.1093000000003,-0.0210542
553.4554000000003,-0.0217557
554.8015000000003,-0.0223792
556.1476000000002,-0.0229248
557.4937000000002,-0.0230806
558.8398000000003,-0.0234703
560.1859000000003,-0.02386
561.5320000000003,-0.0242497
562.8781000000004,-0.0246394
564.2242000000003,-0.0249512
565.5703000000003,-0.025263
566.9164000000003,-0.0255747
568.2625000000003,-0.0258864
569.6086000000003,-0.0261982
570.9547000000003,-0.0263541
572.3008000000003,-0.0266658
573.6469000000003,-0.0268996
574.9930000000004,-0.0271335
576.3391000000004,-0.0273673
577.6852000000003,-0.0276011
579.0313000000003,-0.0273673
580.3774000000003,-0.0275232
581.7235000000004,-0.0280687
583.0696000000004,-0.0286143
584.4157000000004,-0.0291598
585.7618000000004,-0.0295495
587.1079000000004,-0.0299392
588.4540000000004,-0.0304849
589.8001000000004,-0.0308746
591.1462000000004,-0.0313421
592.4923000000003,-0.0317318
593.8384000000004,-0.0320436
595.1845000000004,-0.0324333
596.5306000000004,-0.0327451
597.8767000000005,-0.0331348
599.2228000000005,-0.0334465
600.5689000000004,-0.0338362
601.9150000000004,-0.03407
603.2611000000004,-0.0324333
604.6072000000005,-0.0306407
605.9533000000005,-0.0299392
607.2994000000004,-0.0300952
608.6455000000005,-0.0305628
609.9916000000005,-0.0307186
611.3377000000005,-0.0310304
612.6838000000005,-0.0312642
614.0299000000005,-0.0314201
615.3760000000005,-0.0316539
616.7221000000005,-0.0318877
618.0682000000005,-0.0321215
619.4143000000005,-0.0322774
620.7604000000006,-0.0325112
622.1065000000006,-0.0326671
623.4526000000005,-0.0327451
624.7987000000005,-0.032823
626.1448000000005,-0.0329009
627.4909000000006,-0.0333686
628.8370000000006,-0.0374214
630.1831000000005,-0.0389802
631.5292000000006,-0.0384346
632.8753000000006,-0.0371876
634.2214000000006,-0.0358626
635.5675000000006,-0.0367199
636.9136000000005,-0.0385905
638.2597000000006,-0.0416301
639.6058000000006,-0.0459947
640.9519000000006,-0.0512945
642.2980000000007,-0.0569061
643.6441000000007,-0.0618163
644.9902000000006,-0.0654015
646.3363000000006,-0.0675058
647.6824000000006,-0.0684411
