Longueur d'onde (nm),Tension photodiode 1 (Volt),Tension photodiode 2 (Volt),pas de vis (mm)
800.0,-0.014823962729779433,-0.009092625744561707,0.0425
798.678071539525,-0.015472793329205392,-0.00974145634869845,0.085
797.35614307905,-0.017419285124141145,-0.011255394423232595,0.1275
796.034214618575,-0.024664560096264374,-0.016878592959405313,0.17
794.7122861581,-0.02325876048006363,-0.016013485494979524,0.21250000000000002
793.390357697625,-0.0151483780295602,-0.008984487310455678,0.255
792.06842923715,-0.013526301529209342,-0.007686826100138226,0.2975
790.746500776675,-0.012877470928155105,-0.006929857059896203,0.34
789.4245723162,-0.012012363459298006,-0.007146133927789692,0.3825
788.102643855725,-0.012012363459298006,-0.006389164887683876,0.425
786.78071539525,-0.012012363459343317,-0.006389164887729395,0.4675
785.458786934775,-0.011579809724461756,-0.006172888018835372,0.51
784.1368584743,-0.01168794815825012,-0.006281026453077585,0.5525
782.814930013825,-0.011039117555610484,-0.00584847271515293,0.595
781.49300155335,-0.011796086591947854,-0.005524057411470418,0.6375000000000001
780.171073092875,-0.011363532857020972,-0.005307780542394336,0.68
778.8491446324,-0.011904225025554957,-0.005307780542394336,0.7225
777.527216171925,-0.010930979121822107,-0.006064749583682863,0.765
776.20528771145,-0.010822840687897678,-0.005632195846122335,0.8075
774.883359250975,-0.010822840687897678,-0.00519964210765132,0.8500000000000001
773.5614307905,-0.010930979121822107,-0.0050915036730905016,0.8925000000000001
772.239502330025,-0.011255394423232595,-0.005199642107742419,0.935
770.91757386955,-0.010930979121731405,-0.0050915036730905016,0.9775
769.595645409075,-0.011039117555655833,-0.005199642107787974,1.02
768.2737169486,-0.011039117555655833,-0.005415918977000698,1.0625
766.951788488125,-0.011039117555519807,-0.005199642107742419,1.105
765.62986002765,-0.010930979121776757,-0.005415918977000698,1.1475
764.307931567175,-0.01114725598944421,-0.00498336523843857,1.1900000000000002
762.9860031067,-0.010930979121640727,-0.005199642107742419,1.2325000000000002
761.664074646225,-0.01103911755551979,-0.005091503673136057,1.2750000000000001
760.34214618575,-0.011579809724461756,-0.005415918976955154,1.3175000000000001
759.020217725275,-0.011471671290673372,-0.0058484727152439825,1.36
757.6982892648,-0.011039117555610484,-0.005632195846167878,1.4025
756.376360804325,-0.012553055627514844,-0.006172888018789853,1.445
755.05443234385,-0.012228640326557558,-0.0062810264533051385,1.4875
753.732503883375,-0.012228640326557558,-0.006389164887774905,1.53
752.4105754229,-0.01309374779527881,-0.006389164887774905,1.5725
751.088646962425,-0.01341816309573803,-0.007578687665850423,1.615
749.76671850195,-0.01633790079426334,-0.009849594782804432,1.6575000000000002
748.444790041475,-0.01320188622879539,-0.007254272362941516,1.7000000000000002
747.122861581,-0.012985609361626418,-0.007254272362896043,1.7425000000000002
745.800933120525,-0.01309374779514299,-0.0072542723629870015,1.7850000000000001
744.47900466005,-0.01395885526300412,-0.008119379837198541,1.8275000000000001
