Longueur d'onde (nm),Tension blanc (Volt)
400.0,6.72e-05
401.3461,6.72e-05
402.6922,-8.86e-05
404.0383,6.72e-05
405.3844,6.72e-05
406.7305,-1.07e-05
408.0766,6.72e-05
409.4227,6.72e-05
410.7688,6.72e-05
412.1149,6.72e-05
413.461,0.0003011
414.8071,0.0001452
416.1532,0.0002231
417.4993,0.0002231
418.8454,0.0001452
420.1915,0.0001452
421.5376,0.0002231
422.88370000000003,0.0001452
424.2298,0.0001452
425.5759,0.0001452
426.922,0.0001452
428.2681,0.0001452
429.61420000000004,0.0001452
430.9603,6.72e-05
432.3064,0.0001452
433.65250000000003,0.0001452
434.9986,6.72e-05
436.34470000000005,6.72e-05
437.6908,0.0002231
439.0369,6.72e-05
440.38300000000004,-1.07e-05
441.7291,6.72e-05
443.0752,-1.07e-05
444.42130000000003,6.72e-05
445.7674,-1.07e-05
447.1135,6.72e-05
448.4596,-1.07e-05
449.8057,-8.86e-05
451.1518,-1.07e-05
452.4979,-8.86e-05
453.844,-8.86e-05
455.1901,-0.0001666
456.5362,-0.0002445
457.8823,-0.0002445
459.22839999999997,-0.0002445
460.57449999999994,-0.0005563
461.9206,-0.0007122
463.26669999999996,-0.0007901
464.6128,-0.0007901
465.95889999999997,-0.000946
467.30499999999995,-0.000868
468.65109999999993,-0.000946
469.99719999999996,-0.0010239
471.34329999999994,-0.0011798
472.6894,-0.0012577
474.03549999999996,-0.0012577
475.38159999999993,-0.0014136
476.7276999999999,-0.0014915
478.07379999999995,-0.0016474
479.4198999999999,-0.0017254
480.76599999999996,-0.0018812
482.11209999999994,-0.0021151
483.4582,-0.002193
484.80429999999996,-0.0022709
486.1504,-0.0024268
487.49649999999997,-0.0026606
488.8426,-0.0028165
490.1887,-0.0029724
491.5348,-0.0032062
492.8809,-0.00344
494.227,-0.003518
495.5731,-0.0038297
496.91920000000005,-0.0040635
498.2653,-0.0042974
499.6114,-0.0045311
500.95750000000004,-0.0048429
502.3036000000001,-0.0050768
503.64970000000005,-0.0053885
504.99580000000003,-0.0056223
506.34190000000007,-0.0058562
507.68800000000005,-0.0060899
509.0341000000001,-0.0064017
510.38020000000006,-0.0066355
511.7263000000001,-0.0069473
513.0724000000001,-0.0071811
514.4185000000001,-0.0074928
515.7646000000001,-0.0077267
517.1107000000001,-0.0080384
518.4568000000002,-0.0081943
519.8029000000001,-0.0085061
521.1490000000001,-0.0087399
522.4951000000001,-0.0090516
523.8412000000001,-0.0093634
525.1873000000002,-0.0095972
526.5334000000001,-0.009909
527.8795000000001,-0.0101427
529.2256000000002,-0.0103766
530.5717000000002,-0.0103766
531.9178000000002,-0.0104545
533.2639000000001,-0.0106884
534.6100000000001,-0.0110001
535.9561000000002,-0.0113118
537.3022000000002,-0.0117795
538.6483000000002,-0.012325
539.9944000000002,-0.0129486
541.3405000000002,-0.013728
542.6866000000002,-0.0146632
