Longueur d'onde (nm),Tension échantillon (Volt)
400.0,0.0006128
401.3461,0.0005349
402.6922,0.0005349
404.0383,0.0005349
405.3844,0.0006128
406.7305,0.0004569
408.0766,0.0005349
409.4227,0.0005349
410.7688,0.0005349
412.1149,0.0005349
413.461,0.0006128
414.8071,0.0005349
416.1532,0.0006128
417.4993,0.0006128
418.8454,0.0004569
420.1915,0.0005349
421.5376,0.0006128
422.88370000000003,0.0006908
424.2298,0.0007687
425.5759,0.0006128
426.922,0.0006128
428.2681,0.0006128
429.61420000000004,0.0006128
430.9603,0.0006128
432.3064,0.0006128
433.65250000000003,0.0006128
434.9986,0.0006128
436.34470000000005,0.0006128
437.6908,0.0006128
439.0369,0.0005349
440.38300000000004,0.0005349
441.7291,0.0005349
443.0752,0.0005349
444.42130000000003,0.0005349
445.7674,0.0004569
447.1135,0.0004569
448.4596,0.000379
449.8057,0.0004569
451.1518,0.000379
452.4979,0.000379
453.844,0.0003011
455.1901,0.0003011
456.5362,0.0003011
457.8823,0.0002231
459.22839999999997,0.0002231
460.57449999999994,-8.86e-05
461.9206,-0.0001666
463.26669999999996,-0.0002445
464.6128,-0.0003225
465.95889999999997,-0.0003225
467.30499999999995,-0.0004004
468.65109999999993,-0.0004004
469.99719999999996,-0.0004783
471.34329999999994,-0.0005563
472.6894,-0.0007122
474.03549999999996,-0.0007901
475.38159999999993,-0.000868
476.7276999999999,-0.000946
478.07379999999995,-0.0010239
479.4198999999999,-0.0011798
480.76599999999996,-0.0013357
482.11209999999994,-0.0014136
483.4582,-0.0014915
484.80429999999996,-0.0015695
486.1504,-0.0018033
487.49649999999997,-0.0019592
488.8426,-0.002193
490.1887,-0.0024268
491.5348,-0.0025827
492.8809,-0.0028165
494.227,-0.0030503
495.5731,-0.0032842
496.91920000000005,-0.003518
498.2653,-0.0037518
499.6114,-0.0039856
500.95750000000004,-0.0042194
502.3036000000001,-0.0044532
503.64970000000005,-0.004765
504.99580000000003,-0.0049988
506.34190000000007,-0.0052326
507.68800000000005,-0.0055444
509.0341000000001,-0.0057782
510.38020000000006,-0.006012
511.7263000000001,-0.0063238
513.0724000000001,-0.0064796
514.4185000000001,-0.0067914
515.7646000000001,-0.0071031
517.1107000000001,-0.007337
518.4568000000002,-0.0075708
519.8029000000001,-0.0078046
521.1490000000001,-0.0081164
522.4951000000001,-0.0082722
523.8412000000001,-0.008584
525.1873000000002,-0.0088178
526.5334000000001,-0.0089737
527.8795000000001,-0.0092075
529.2256000000002,-0.0094413
530.5717000000002,-0.0095193
531.9178000000002,-0.0095193
533.2639000000001,-0.009753
534.6100000000001,-0.009831
535.9561000000002,-0.0102207
537.3022000000002,-0.0106104
538.6483000000002,-0.0110001
539.9944000000002,-0.0114678
541.3405000000002,-0.0120912
542.6866000000002,-0.0127927
544.0327000000002,-0.0134941
545.3788000000002,-0.0143515
546.7249000000002,-0.0151309
548.0710000000003,-0.0159103
