Longueur d'onde (nm),Tension blanc (Volt)
400.0,-1.07e-05
401.3461,6.72e-05
402.6922,-1.07e-05
404.0383,6.72e-05
405.3844,-1.07e-05
406.7305,-1.07e-05
408.0766,-1.07e-05
409.4227,6.72e-05
410.7688,-1.07e-05
412.1149,-1.07e-05
413.461,-1.07e-05
414.8071,-1.07e-05
416.1532,-1.07e-05
417.4993,-1.07e-05
418.8454,-8.86e-05
420.1915,-8.86e-05
421.5376,-1.07e-05
422.88370000000003,-8.86e-05
424.2298,-8.86e-05
425.5759,-8.86e-05
426.922,-8.86e-05
428.2681,-1.07e-05
429.61420000000004,-1.07e-05
430.9603,-1.07e-05
432.3064,-1.07e-05
433.65250000000003,-1.07e-05
434.9986,-8.86e-05
436.34470000000005,-1.07e-05
437.6908,-1.07e-05
439.0369,-1.07e-05
440.38300000000004,-1.07e-05
441.7291,-1.07e-05
443.0752,-1.07e-05
444.42130000000003,6.72e-05
445.7674,-1.07e-05
447.1135,-1.07e-05
448.4596,-1.07e-05
449.8057,6.72e-05
451.1518,-8.86e-05
452.4979,6.72e-05
453.844,-8.86e-05
455.1901,6.72e-05
456.5362,-1.07e-05
457.8823,-1.07e-05
459.22839999999997,-1.07e-05
460.57449999999994,6.72e-05
461.9206,-1.07e-05
463.26669999999996,6.72e-05
464.6128,-8.86e-05
465.95889999999997,-1.07e-05
467.30499999999995,-1.07e-05
468.65109999999993,-1.07e-05
469.99719999999996,-8.86e-05
471.34329999999994,-1.07e-05
472.6894,-1.07e-05
474.03549999999996,-1.07e-05
475.38159999999993,-1.07e-05
476.7276999999999,-8.86e-05
478.07379999999995,-8.86e-05
479.4198999999999,-1.07e-05
480.76599999999996,6.72e-05
482.11209999999994,-8.86e-05
483.4582,-1.07e-05
484.80429999999996,-8.86e-05
486.1504,-1.07e-05
487.49649999999997,-8.86e-05
488.8426,-1.07e-05
490.1887,-1.07e-05
491.5348,-8.86e-05
492.8809,-8.86e-05
494.227,-1.07e-05
495.5731,-8.86e-05
496.91920000000005,-1.07e-05
498.2653,-8.86e-05
499.6114,6.72e-05
500.95750000000004,-1.07e-05
502.3036000000001,-1.07e-05
503.64970000000005,-8.86e-05
504.99580000000003,-1.07e-05
506.34190000000007,-8.86e-05
507.68800000000005,-1.07e-05
509.0341000000001,-1.07e-05
510.38020000000006,-8.86e-05
511.7263000000001,-8.86e-05
513.0724000000001,-8.86e-05
514.4185000000001,-1.07e-05
515.7646000000001,-8.86e-05
517.1107000000001,-8.86e-05
518.4568000000002,-8.86e-05
519.8029000000001,-1.07e-05
521.1490000000001,-8.86e-05
522.4951000000001,-8.86e-05
523.8412000000001,-8.86e-05
525.1873000000002,-8.86e-05
526.5334000000001,-8.86e-05
527.8795000000001,-1.07e-05
529.2256000000002,-8.86e-05
530.5717000000002,-0.0001666
531.9178000000002,-1.07e-05
533.2639000000001,-0.0001666
534.6100000000001,-0.0001666
535.9561000000002,-0.0002445
537.3022000000002,-0.0001666
538.6483000000002,-8.86e-05
539.9944000000002,-8.86e-05
541.3405000000002,-0.0001666
542.6866000000002,-8.86e-05
544.0327000000002,-0.0001666
545.3788000000002,-0.0001666
546.7249000000002,-0.0002445
548.0710000000003,-0.0001666
549.4171000000002,-0.0001666
550.7632000000002,-0.0002445
552.1093000000003,-0.0001666
553.4554000000003,-0.0002445
554.8015000000003,-0.0001666
556.1476000000002,-0.0001666
