Longueur d'onde (nm),Tension photodiode 1 (Volt),Tension photodiode 2 (Volt),pas de vis (mm)
800.0,-0.0067994211762577115,-0.0045503540653251805,0.05
798.4447900465,-0.00661334728063122,-0.0038384191649490688,0.1
796.889580093,-0.006977404901473421,-0.0029323201968908903,0.15000000000000002
795.3343701395,-0.006912683546782464,-0.0035309927219660383,0.2
793.779160186,-0.006928863886040944,-0.002349827997148655,0.25
792.2239502325,-0.006888413038500393,-0.004744518129019985,0.3
790.668740279,-0.006459634063119837,-0.0044613621996832265,0.35000000000000003
789.1135303255,-0.006864142530873693,-0.00408921440870262,0.4
787.558320372,-0.006726609651457408,-0.0038384191646391673,0.45
786.0031104185,-0.006686158805201359,-0.0027543364661527124,0.5
784.447900465,-0.006912683547076651,-0.0031750252753731645,0.55
782.8926905115,-0.006734699821198159,-0.0030779432395096873,0.6000000000000001
781.337480558,-0.007050216426019304,-0.002463090367755452,0.6500000000000001
779.7822706045,-0.006451543893953959,-0.005925682850348295,0.7000000000000001
778.227060651,-0.00688841303883829,-0.0038141486540226254,0.7500000000000001
776.6718506975,-0.006856052362035614,-0.002956590705524595,0.8
775.116640744,-0.006823691684654706,-0.004202476789060962,0.8500000000000001
773.5614307905,-0.006645707958847428,-0.0034177303580673604,0.9000000000000001
772.006220837,-0.007252470660251207,-0.004040673395112329,0.9500000000000001
770.4510108835,-0.007131118119434859,-0.002705795452448491,1.0
768.89580093,-0.007082577103884098,-0.004024493056829903,1.05
767.3405909765,-0.006928863886243938,-0.0031992957859252142,1.1
765.785381023,-0.006961224563972882,-0.003191205612308367,1.1500000000000001
764.2301710695,-0.00716347879793768,-0.004016402887723508,1.2000000000000002
762.674961116,-0.0070744869351810945,-0.003522902558695544,1.2500000000000002
761.1197511625,-0.007341462524157507,-0.0034096401860617166,1.3
759.564541209,-0.00767315946782777,-0.0035714435746168048,1.35
758.0093312555,-0.007446634725351166,-0.002810967653027135,1.4000000000000001
756.454121302,-0.006920773717619027,-0.0035876239092733015,1.4500000000000002
754.8989113485,-0.007074486935208182,-0.0030536727345652935,1.5000000000000002
753.343701395,-0.0075356265880335725,-0.003482451705036956,1.55
