Longueur d'onde (nm),Absorbace,Absorbance pics,Longueur d'onde pics (nm)
639.576,0.0,,
641.1769999999999,0.0,,
642.778,0.0,,
644.379,0.0,,
645.98,0.0,,
647.5809999999999,0.0,,
649.182,0.0,,
650.783,0.0,,
652.384,0.0,,
653.985,0.0,,
655.586,0.0,,
657.1869999999999,0.0,,
658.788,0.0,,
660.389,0.0,,
661.99,0.0,,
663.591,0.0,,
665.192,0.0,,
666.7929999999999,0.0,,
668.394,0.0,,
669.995,0.0,,
671.596,0.0,,
673.197,0.0,,
674.798,0.0,,
676.399,0.0,,
678.0,0.0,,
679.601,0.0,,
681.202,0.0,,
682.803,0.0,,
684.404,0.0,,
686.005,0.0,,
687.606,0.0,,
689.207,0.0,,
690.808,0.0,,
692.409,0.0,,
694.01,0.0,,
695.611,0.0,,
697.212,0.0,,
698.813,0.0,,
700.414,0.0,,
702.015,0.0,,
703.616,0.0,,
705.217,0.0,,
706.818,0.0,,
708.419,0.0,,
710.02,0.0,,
711.621,0.0,,
713.222,0.0,,
714.823,0.0,,
716.424,0.0,,
718.025,0.0,,
719.626,0.0,,
721.227,0.0,,
722.828,0.0,,
724.429,0.0,,
726.03,0.0,,
727.631,0.0,,
729.232,0.0,,
730.833,0.0,,
732.434,0.0,,
734.035,0.0,,
735.636,0.0,,
737.237,0.0,,
738.838,0.0,,
740.439,0.0,,
742.04,0.0,,
743.641,0.0,,
745.242,0.0,,
746.843,0.0,,
748.444,0.0,,
750.045,0.0,,
751.646,0.0,,
753.247,0.0,,
754.848,0.0,,
756.449,0.0,,
758.05,0.0,,
759.651,0.0,,
761.252,0.0,,
762.853,0.0,,
764.454,0.0,,
766.055,0.0,,
767.656,0.0,,
769.257,0.0,,
770.858,0.0,,
772.459,0.0,,
774.06,0.0,,
775.661,0.0,,
777.262,0.0,,
778.8629999999999,0.0,,
780.4639999999999,0.0,,
782.0649999999999,0.0,,
783.6659999999999,0.0,,
785.2669999999999,0.0,,
786.8679999999999,0.0,,
788.469,0.0,,
790.0699999999999,0.0,,
791.6709999999999,0.0,,
793.2719999999999,0.0,,
794.873,0.0,,
796.4739999999999,0.0,,
798.075,0.0,,
799.6759999999999,0.0,,
801.277,0.0,,
802.8779999999999,0.0,,
804.479,0.0,,
806.0799999999999,0.0,,
807.681,0.0,,
809.282,0.0,,
810.883,0.0,,
812.484,0.0,,
814.085,0.0,,
815.6859999999999,0.0,,
817.287,0.0,,
818.888,0.0,,
820.489,0.0,,
822.09,0.0,,
823.691,0.0,,
825.292,0.0,,
826.893,0.0,,
828.494,0.0,,
830.095,0.0,,
831.696,0.0,,
833.297,0.0,,
834.898,0.0,,
836.499,0.0,,
838.1,0.0,,
839.701,0.0,,
841.302,0.0,,
842.903,0.0,,
844.504,0.0,,
846.105,0.0,,
847.706,0.0,,
849.307,0.0,,
850.908,0.0,,
852.509,0.0,,
854.11,0.0,,
855.711,0.0,,
857.312,0.0,,
858.913,0.0,,
860.514,0.0,,
862.115,0.0,,
863.716,0.0,,
865.317,0.0,,
866.918,0.0,,
868.519,0.0,,
870.12,0.0,,
871.721,0.0,,
873.322,0.0,,
874.923,0.0,,
876.524,0.0,,
878.125,0.0,,
879.726,0.0,,
881.327,0.0,,
882.928,0.0,,
884.529,0.0,,
