Longueur d'onde (nm),Absorbance,Tension reference (Volt),Tension echantillon (Volt),pas de vis (mm)
886.13,0.1081467405495804,-0.9885019649479059,-0.7706031791777157,0.062460961898813235
884.13,0.07475145307922525,-0.7659532297316046,-0.6448382618601002,0.12492192379762647
882.13,0.08715657407747854,-0.6773879104796329,-0.5542183069823396,0.1873828856964397
880.13,0.08850028338253062,-0.6264547397555109,-0.5109629565369608,0.24984384759525294
878.13,0.05554557392088367,-0.5854702974278482,-0.5151803538410258,0.3123048094940662
876.13,0.08216111525172728,-0.48998411152435706,-0.405528034141245,0.3747657713928794
874.13,0.0372050565999363,-0.4320219383736865,-0.3965525478366863,0.43722673329169265
872.13,0.1082106838261909,-0.4461880670494911,-0.3477821335339722,0.4996876951905059
870.13,0.11095920606780824,-0.42542549719806305,-0.3295067450003151,0.5621486570893192
868.13,0.06739500419445854,-0.3829271108505015,-0.3278846691062937,0.6246096189881324
866.13,0.10002478651905086,-0.43472539835027785,-0.34529495065636623,0.6870705808869456
864.13,0.16430855481974363,-0.5073943907104518,-0.3475658568482929,0.7495315427857588
862.13,0.13929942788841132,-0.49971656529681674,-0.3625970933539966,0.8119925046845721
860.13,0.16121563472298542,-0.5509741563756311,-0.38011551282755796,0.8744534665833853
858.13,0.1983926403734351,-0.5022037484366654,-0.3180440752031323,0.9369144284821985
856.13,0.23560210950685198,-0.4716005863507234,-0.2741398853965986,0.9993753903810118
854.13,0.22496425474212906,-0.508475774279183,-0.3029046996387773,1.061836352279825
852.13,0.34167419436890933,-0.5203709959303948,-0.2369402747935624,1.1242973141786383
850.13,0.31627574419892357,-0.43234635376849617,-0.2087161506451747,1.1867582760774515
848.13,0.47388906257358515,-0.4656529757357062,-0.15637715946671346,1.2492192379762648
846.13,0.5388836379442264,-0.4746284613067358,-0.13723665984759392,1.311680199875078
844.13,0.5635726204723317,-0.44024045580015797,-0.12025892821940444,1.3741411617738912
842.13,0.7226536033969722,-0.4842527773177803,-0.09171038503762548,1.4366021236727045
840.13,0.8379886797822614,-0.5012305028848816,-0.07278616083505768,1.4990630855715177
838.13,0.9914173139889054,-0.5567054895313127,-0.05678167371805287,1.561524047470331
836.13,1.1500894312152965,-0.6540300233994456,-0.04629224617363708,1.6239850093691441
834.13,1.2862647680389263,-0.589687693383846,-0.03050403539749072,1.6864459712679574
832.13,1.4630770476109225,-0.7383779476685607,-0.025421529115671086,1.7489069331667706
830.13,1.6143004886590446,-0.6721972683987114,-0.01633790079417305,1.8113678950655838
