Longueur d'onde (nm),Absorbance,Tension reference (Volt),Tension echantillon (Volt),pas de vis (mm)
886.13,-0.0761951906606077,-3.5079111937147274,-2.9434278826894293,0.031230480949406617
885.13,-0.004786493282112701,-2.782193349872141,-2.7516982962018504,0.062460961898813235
884.13,-0.014475088266896812,-2.6555632201341783,-2.568511749506223,0.09369144284821986
883.13,-0.009142521820508499,-2.4190644376382813,-2.368671939364445,0.12492192379762647
882.13,-0.07304331331823324,-2.513361161664378,-2.124279149752745,0.1561524047470331
881.13,-0.07309336155326186,-2.3288769951930957,-1.9681273174591025,0.1873828856964397
880.13,-0.048991902901718065,-2.2362023898769396,-1.9976491019522247,0.21861336664584632
879.13,-0.08577826519019084,-2.23360706204356,-1.8332787686679197,0.24984384759525294
878.13,-0.04484447373624195,-2.084376080462833,-1.8798864042715058,0.2810743285446596
877.13,-0.06211636398765324,-1.9660726934650004,-1.704053428391222,0.3123048094940662
876.13,-0.054283684471101816,-1.8268986045772693,-1.6122439637082984,0.3435352904434728
875.13,-0.048633738621624276,-1.7454704173839375,-1.560553830674756,0.3747657713928794
874.13,-0.07428307280755288,-1.634304185619594,-1.3773674647984115,0.40599625234228603
873.13,-0.03531347485309798,-1.561959628946548,-1.4399795679448761,0.43722673329169265
872.13,-0.056565032579911724,-1.5212996089970952,-1.3355179239951533,0.46845721424109926
871.13,-0.04761738597392065,-1.5630410125954697,-1.400725347276562,0.4996876951905059
870.13,-0.10179182211619818,-1.5210833316332344,-1.2032647251993873,0.5309181761399125
869.13,-0.0729051787520922,-1.491885976504267,-1.2613350175783458,0.5621486570893192
868.13,-0.11176421663262641,-1.574179261021202,-1.2169982952133618,0.5933791380387258
867.13,-0.0786698767715224,-1.5435761081670958,-1.2878289126230982,0.6246096189881324
866.13,-0.1078232751080768,-1.714650984678369,-1.3376806906675673,0.655840099937539
865.13,-0.0979169885772455,-1.6682596305384287,-1.3315168051048174,0.6870705808869456
864.13,-0.06459461998348588,-1.576666442905508,-1.3587676684852408,0.7183010618363522
863.13,-0.11519910656535931,-1.7818049120254102,-1.3666617679023905,0.7495315427857588
862.13,-0.11929499982506024,-1.7639620783699714,-1.340276011609185,0.7807620237351655
861.13,-0.1939215449829346,-2.0309557147437967,-1.299507854094007,0.8119925046845721
860.13,-0.14496370163580768,-1.942931078406473,-1.3915335879162811,0.8432229856339787
859.13,-0.20292568375800143,-1.996892124140692,-1.25149442798401,0.8744534665833853
858.13,-0.13787930519308422,-1.6943209743334808,-1.2334353239847493,0.9056839475327919
857.13,-0.18053126431610014,-1.732493814529672,-1.143247942413492,0.9369144284821985
856.13,-0.1933013201116523,-1.6670701093497973,-1.0681999284455816,0.9681449094316051
855.13,-0.20578738892864484,-1.8046221037152097,-1.1235667629676298,0.9993753903810118
854.13,-0.23896088935351034,-1.9096244616777807,-1.101506539525795,1.0306058713304185
853.13,-0.2625644001268465,-1.864855176426597,-1.0187807029736389,1.061836352279825
852.13,-0.27214365126981716,-1.7957547595134908,-0.9596290243576794,1.0930668332292317
851.13,-0.3344688526487323,-1.8049465196924865,-0.8355943325510219,1.1242973141786383
850.13,-0.3372889873193961,-1.7306554629852782,-0.7960156940875457,1.155527795128045
849.13,-0.36618714611510134,-1.635385571188344,-0.7037736714105112,1.1867582760774515
