Longueur d'onde (nm),Absorbance,Tension reference (Volt),Tension echantillon (Volt),pas de vis (mm)
600.0,0.026195998288652367,-0.44337646897045974,-0.41742325669222086,8.935977514053715
599.0,0.05630847057422581,-0.49355267798155605,-0.4335358760513766,8.967207995003122
598.0,0.054538369756573134,-0.551622986581787,-0.4865236828043214,8.998438475952527
597.0,0.09014640521195236,-0.5082594968760841,-0.41298958261408975,9.029668956901935
596.0,0.07991598935604971,-0.48511788431329633,-0.4035815428174588,9.060899437851342
595.0,0.07940350374940318,-0.4614355788153272,-0.38433290967038247,9.092129918800747
594.0,0.034389901861506984,-0.4318056618422254,-0.3989315924932046,9.123360399750155
593.0,0.06766065620955042,-0.4489996649630603,-0.3842247712684564,9.15459088069956
592.0,0.06654363786771209,-0.46738318966149756,-0.40098622184748417,9.185821361648967
591.0,0.024436642037680128,-0.46446345363448543,-0.43905093374544313,9.217051842598375
590.0,0.06647118095625582,-0.5112873723179147,-0.4387265184695275,9.24828232354778
589.0,0.08177767677380443,-0.5040421009145492,-0.41753139483119145,9.279512804497188
588.0,0.10441111066934568,-0.503501408769721,-0.39590371713292133,9.310743285446595
587.0,0.039318362549112675,-0.47224941697677636,-0.4313731083865413,9.341973766396
586.0,0.019171427250551785,-0.4482426961870436,-0.4288859255213892,9.373204247345408
585.0,0.06250361082470472,-0.49614799916838,-0.429642894221117,9.404434728294813
584.0,0.05723924761033013,-0.4816574558666593,-0.4221813456028361,9.43566520924422
583.0,0.020530779332552103,-0.4777644743667014,-0.455704244819922,9.466895690193628
582.0,0.07954130317786515,-0.49366081616701746,-0.41104309188731664,9.498126171143033
581.0,0.07970585746197156,-0.5359429221964774,-0.44607992845446104,9.52935665209244
580.0,0.08244093753395973,-0.5435126079580419,-0.4495403562481208,9.560587133041848
579.0,0.021101663336396223,-0.5381056894377492,-0.5125850324377305,9.591817613991253
578.0,0.05255262904208007,-0.6043945123358853,-0.5355103677637483,9.62304809494066
577.0,0.09972503781872655,-0.7068015460296797,-0.56178799314684,9.654278575890068
576.0,0.059656552864925924,-0.6740356216505689,-0.5875249253835707,9.685509056839473
575.0,0.03534878832489984,-0.633591872176381,-0.584064498496669,9.71673953778888
574.0,0.08144598075177291,-0.7190211805421153,-0.5960678569084952,9.747970018738286
573.0,0.07535088514769442,-0.6911214826630733,-0.5810366236852952,9.779200499687693
572.0,0.014786032286802133,-0.5912016311583129,-0.5714123088707331,9.8104309806371
571.0,0.10326332590519749,-0.681172753781115,-0.5370243058209655,9.841661461586506
570.0,0.07563803421763196,-0.6312128274701968,-0.530319726192512,9.872891942535913
569.0,0.08750373730655209,-0.6619241242708045,-0.5411335642353411,9.90412242348532
568.0,0.09905734946962526,-0.7285373570934977,-0.5799552396525942,9.935352904434726
567.0,0.11196820084194613,-0.7075585146745138,-0.5467567593186149,9.966583385384133
566.0,0.10567612094432738,-0.6303477208937754,-0.4942015076701689,9.99781386633354
565.0,0.08141353818661029,-0.5649240060737019,-0.46835643541872846,10.029044347282946
564.0,0.1215784888422414,-0.631537243321367,-0.47733192096638755,10.060274828232354
563.0,0.07903123473547405,-0.5687088494894643,-0.474087769425856,10.091505309181759
562.0,0.08989293163082915,-0.5760622591308526,-0.46835643499979723,10.122735790131166
561.0,0.08456975871223466,-0.562869377506252,-0.4632739315536645,10.153966271080574
560.0,0.13937018873238025,-0.5987713170282882,-0.43440098306619346,10.185196752029979
559.0,0.11590484999635926,-0.5609228865712584,-0.42953475558009363,10.216427232979386
558.0,0.16262800976113112,-0.6200745757014308,-0.42639874227713676,10.247657713928792
557.0,0.17542824405366034,-0.6046107890945263,-0.40368968143537676,10.2788881948782
556.0,0.1695226342094326,-0.6069898329908351,-0.41082681494378104,10.310118675827606
555.0,0.2227694127852004,-0.6950144642267212,-0.4161255959895529,10.341349156777012
554.0,0.23738056936388513,-0.7221571927319679,-0.4180720864496675,10.37257963772642
553.0,0.22462862524123384,-0.6713321617762907,-0.4002292530474913,10.403810118675827
552.0,0.2628140332678074,-0.6666822126544175,-0.3640028926157099,10.435040599625232
551.0,0.3250194072856791,-0.7000969674402837,-0.3312369592470346,10.46627108057464
550.0,0.36399822358563144,-0.7298350171452389,-0.3156650304653039,10.497501561524047
549.0,0.36677329015579796,-0.9136702253207258,-0.3926595659736766,10.528732042473452
548.0,0.3953907944533016,-0.8748485561525151,-0.3519995310946315,10.55996252342286
547.0,0.46665479331712345,-0.9051272948059278,-0.3090685881490953,10.591193004372265
546.0,0.5228692492641173,-0.9732544572751909,-0.29198272142749176,10.622423485321672
545.0,0.6409412737455811,-1.1614151838957583,-0.2654888130071295,10.65365396627108
544.0,0.7021658754394672,-1.3519549526226295,-0.26840854982711493,10.684884447220485
543.0,0.739081477940638,-1.5145950302333666,-0.27619451495576414,10.716114928169892
542.0,0.8247482533072765,-1.2612268793570858,-0.18881868319782666,10.7473454091193
541.0,0.9099755324773505,-1.0890706300720157,-0.13399250726997322,10.778575890068705
540.0,1.0146222282513537,-1.052519867669501,-0.10176725825422987,10.809806371018112
539.0,1.0463329202590055,-1.1105901608187414,-0.09982076670948985,10.84103685196752
538.0,1.0886652728283643,-1.1818533323258091,-0.09636033723348035,10.872267332916925
537.0,1.2522094795123713,-1.1675790705873503,-0.06532460945076705,10.903497813866332
536.0,1.2440129198677607,-1.1874765265897682,-0.06770365481094033,10.934728294815738
535.0,1.3490387481821295,-1.5896430456433757,-0.07116408442952217,10.965958775765145
534.0,1.3781092264481427,-1.3355179238566786,-0.055916566297596636,10.997189256714552
533.0,1.396191625885756,-1.1795824269730255,-0.04737363046796252,11.028419737663958
532.0,1.5078213786157517,-1.3651478310591731,-0.04239926272811198,11.059650218613365
531.0,1.527825710183145,-1.648254034385169,-0.0488875684731502,11.09088069956277
530.0,1.5197007762617118,-1.8753445941334839,-0.05667353527797695,11.122111180512178
529.0,1.4915084844065023,-1.438898184717089,-0.04640038459685514,11.153341661461585
528.0,1.5145114551629755,-1.350981707551705,-0.041317878431879666,11.184572142410993
527.0,1.4878361850285062,-1.2139704214762645,-0.0394795251285919,11.215802623360398
526.0,1.5668360738777767,-1.1330829372716429,-0.030720312260205312,11.247033104309805
525.0,1.5024744453087615,-1.0251608656216178,-0.03223425029331694,11.27826358525921
524.0,1.468799386899561,-0.9804997269763005,-0.03331563459997844,11.309494066208618
523.0,1.4305809742395597,-1.0290538463559622,-0.03818186396952664,11.340724547158025
522.0,1.3945983254046626,-0.9660091870046233,-0.03893883297746231,11.37195502810743
521.0,1.3365506950519495,-1.0704708336172644,-0.04932012218231008,11.403185509056838
520.0,1.2850914295248326,-1.1009658477879782,-0.05710608898643399,11.434415990006244
519.0,1.2629321804618072,-1.0798788695474704,-0.05894444226880787,11.465646470955651
518.0,1.2104074862543959,-0.9235108154672549,-0.0568898121437767,11.496876951905058
517.0,1.169601600194252,-0.9349734805027022,-0.0632699793284083,11.528107432854464
516.0,1.104969381502423,-0.9530325853169987,-0.07484079091024971,11.559337913803871
515.0,1.0365634295563204,-0.9364874178020207,-0.08608718705026948,11.590568394753276
514.0,1.0242499488021033,-1.0040738871283599,-0.09495453771492456,11.621798875702684
513.0,1.025987225485767,-1.0207271930394013,-0.09614406038001622,11.653029356652091
512.0,0.979856005702947,-0.944705932060152,-0.09895565931025836,11.684259837601498
511.0,0.9644198080864628,-0.9306479460741556,-0.10101028933677615,11.715490318550904
510.0,0.9177779748782117,-0.9020994208948768,-0.1090125325428743,11.746720799500311
509.00000000000006,0.9484766560407022,-0.871171851597501,-0.09809055198813453,11.777951280449717
508.0,1.022061144145993,-0.8738753102251082,-0.08305931118543602,11.809181761399124
507.0,1.032043763803775,-0.938433908058473,-0.08716857127083379,11.840412242348531
506.0,1.0802355114118452,-0.9848252610296977,-0.08186978849542663,11.871642723297937
505.0,1.1166930415088376,-0.9423268887996422,-0.07202919185397295,11.902873204247344
504.00000000000006,1.1096134252309755,-0.8741997250974375,-0.0679199316753195,11.93410368519675
503.0,1.1239138269006803,-0.886203083465058,-0.06662227056726573,11.965334166146157
502.0,1.2078870911591855,-0.9234026765909026,-0.05721422741971712,11.996564647095564
501.0,1.274919806796367,-0.9817973865673161,-0.05213172131250322,12.027795128044971
500.0,1.3463000768020363,-1.0371642220308432,-0.0467247998970125,12.059025608994377
499.0,1.34557668871785,-1.0498164093269915,-0.04737363046914888,12.090256089943784
498.0,1.4119594149787944,-1.0417060332090164,-0.04034463256062328,12.12148657089319
497.0,1.4576928976172683,-1.0457071519749281,-0.03645164908354068,12.152717051842597
496.0,1.480413553441323,-1.0822579141587398,-0.03580281850025211,12.183947532792004
495.0,1.4984922760754191,-1.1521152866326017,-0.03655978751413993,12.21517801374141
494.0,1.5523235954439756,-1.620462476109287,-0.04542713874612697,12.246408494690817
493.00000000000006,1.4681542038499646,-1.5002126303788268,-0.05105033703412895,12.277638975640222
492.0,1.445446571290753,-1.2941009371625947,-0.0464003846113184,12.30886945658963
491.0,1.4859027713510178,-1.3807197536527847,-0.045102723461229476,12.340099937539037
489.99999999999994,1.4304598407244262,-1.669773571765908,-0.06197231822310526,12.371330418488444
489.0,1.4107039861806714,-1.807109285567077,-0.07019083862263707,12.40256089943785
488.0,1.4159230748944498,-1.530275090673794,-0.05872816538791616,12.433791380387257
487.0,1.3262306115376343,-1.5564445734649404,-0.0734349913581025,12.465021861336663
486.0,1.2549730696447972,-2.1048142429205527,-0.11701477563538365,12.49625234228607
485.0,1.198018124435413,-1.7215718469193468,-0.1091206709175166,12.527482823235477
484.0,1.1739757896208398,-1.2882614660523488,-0.08630346387962255,12.558713304184883
483.0,1.103890754257153,-0.9836357389321645,-0.07743611311216676,12.58994378513429
482.00000000000006,1.0052397844165109,-0.9490314664445858,-0.09376501509637192,12.621174266083695
481.0,0.9927955733440154,-0.9551953524807143,-0.09711730614703397,12.652404747033103
480.0,0.9303353529762132,-0.9681719549116371,-0.11366248460688017,12.68363522798251
479.0,0.8935862378875832,-0.877768290831728,-0.1121485467154882,12.714865708931915
478.0,0.8254634243401838,-0.8733346188730534,-0.1305320779209687,12.746096189881323
477.00000000000006,0.8441275126157654,-0.8459756145452317,-0.12112403553755306,12.777326670830728
476.0,0.7943505632646449,-0.8257537422114666,-0.13258670788996177,12.808557151780136
475.0,0.8080446424689848,-0.8820938249425883,-0.13723665984165032,12.839787632729543
474.0,0.7780802596681521,-0.9387583232821255,-0.15648529788180646,12.87101811367895
473.0,0.7252962800851495,-0.8634940285656046,-0.16254104908942038,12.902248594628356
472.0,0.7893484251489248,-0.9201585252660333,-0.1494563008872821,12.933479075577763
471.0,0.7818255618697765,-0.8546266836015469,-0.14123778128920403,12.964709556527168
470.0,0.7900695470969671,-0.9850415370684534,-0.1597294502933008,12.995940037476576
469.0,0.8071418272344153,-1.0141307536499697,-0.1581073740624267,13.027170518425983
467.99999999999994,0.8494110677762908,-1.121620272922858,-0.15864806616418628,13.05840099937539
467.0,0.8383134071798669,-1.1298387867204862,-0.16394684841770876,13.089631480324796
466.00000000000006,0.8287567023386178,-1.0279724627236948,-0.15248417648330936,13.120861961274201
465.0,0.8123921327697549,-1.0320817200754588,-0.1589724814253405,13.152092442223609
464.0,0.9140945360662075,-1.2378689962908551,-0.15086210029635444,13.183322923173016
462.99999999999994,0.9154674933617994,-1.3486026641386184,-0.16383871002665648,13.214553404122423
462.0,0.8523091552668276,-1.4939406049496,-0.2099056730047082,13.245783885071829
461.00000000000006,0.86690655033436,-1.2839359321158346,-0.1744362745431233,13.277014366021234
460.0,0.8853094760580068,-1.3444934064940615,-0.17508510489225793,13.308244846970641
459.0,0.8426037850384871,-1.2110506861103643,-0.1740037207669366,13.339475327920049
458.0,0.8287502092576535,-1.1431398034192528,-0.16957004585963195,13.370705808869456
457.0,0.778333135092557,-1.1827184391091525,-0.19703720239981118,13.401936289818861
456.0,0.766073277247309,-1.2286772366560328,-0.210554503586082,13.433166770768269
455.0,0.678215390765987,-1.211375101288793,-0.2541342808409058,13.464397251717674
454.0,0.6621385765018504,-1.3114030723326897,-0.2854944173218143,13.495627732667081
453.0,0.6118104098430023,-1.3041578033460057,-0.3188010436386672,13.526858213616489
451.99999999999994,0.5854245154331442,-1.4158647163414118,-0.3677877362454911,13.558088694565896
451.0,0.5327689788560693,-1.3998602407874443,-0.4105023993775032,13.589319175515302
450.00000000000006,0.5325545039928412,-1.45998516340823,-0.4283452333866084,13.620549656464707
449.0,0.4717940486534221,-1.499780076243847,-0.5060967300433008,13.651780137414114
448.0,0.5004694729715364,-1.5966720383087614,-0.5043665159942929,13.683010618363522
446.99999999999994,0.4121555388314012,-1.354550272903566,-0.5243721156184321,13.714241099312929
446.0,0.47148522255998,-1.367418736884259,-0.46175999414924007,13.745471580262334
445.0,0.3906407879124488,-1.324704089600582,-0.5388626582039472,13.776702061211742
444.0,0.40898550614899115,-1.3408167038067802,-0.5228581784764014,13.807932542161147
443.0,0.39671345411838477,-1.381368583481602,-0.5541101691353602,13.839163023110554
442.0,0.43444209494714164,-1.417054239011201,-0.5211279644369468,13.870393504059962
440.99999999999994,0.42699791275600807,-1.227055161596988,-0.4590565345938331,13.901623985009369
440.0,0.3423181748197221,-1.124323731567009,-0.5111792339078013,13.932854465958775
439.0,0.423690310644277,-1.2432759133747104,-0.46868085041851465,13.96408494690818
438.0,0.4342781211612117,-1.1860707274098863,-0.43634747416209724,13.995315427857587
437.0,0.4270553619547731,-1.2055356305522869,-0.4509461556276682,14.026545908806995
435.99999999999994,0.4192936234409633,-1.2111588245183593,-0.4612193021675594,14.057776389756402
435.0,0.4192111206423567,-1.2123483461655031,-0.46175999393603934,14.089006870705807
434.00000000000006,0.38662573113639587,-1.149736242736316,-0.4720331403971993,14.120237351655213
433.0,0.3546324999948647,-1.1417340052662606,-0.5045827928366706,14.15146783260462
432.0,0.3891218280850233,-1.192126475129345,-0.48663182187599213,14.182698313554027
430.99999999999994,0.34398774948950106,-1.1573059273674973,-0.5241558388098596,14.213928794503435
430.0,0.31882201149558076,-1.1689848691491072,-0.5610310249789169,14.24515927545284
429.0,0.34364274652559196,-1.360606020849869,-0.6167222852158062,14.276389756402247
428.0,0.3069346769602205,-1.2965881191355575,-0.639539481964345,14.307620237351653
427.0,0.3479225173376387,-1.427327382606179,-0.6406208661147929,14.33885071830106
426.0,0.27283712996217696,-1.3802871997415085,-0.7364314557236997,14.370081199250468
424.99999999999994,0.269652131681333,-1.3856941183563543,-0.7447581113174305,14.401311680199875
