Longueur d'onde (nm),Absorbance,Tension reference (Volt),Tension echantillon (Volt),pas de vis (mm)
880.0,0.09150555952784052,-0.09733358303411534,-0.07884191263717097,0.19144284821986243
879.0,0.11909744268864138,-0.06943386964121091,-0.05278055189244366,0.22267332916926905
878.0,0.10259049595487724,-0.05807933485031442,-0.04585969246620492,0.2539038101186757
877.0,0.11333605984052807,-0.05602470472768704,-0.0431562317366683,0.2851342910680823
876.0,0.13418765409289504,-0.05288869032048199,-0.03883069454761778,0.3163647720174889
875.0,0.1340934304504546,-0.051699167611402586,-0.03796558710806366,0.34759525296689553
874.0,0.11353530212372119,-0.04888756847165506,-0.037641171817731384,0.37882573391630214
873.0,0.11333259429814449,-0.04802246104172699,-0.03699234123786704,0.41005621486570876
872.0,0.13518943427269614,-0.049320122187409866,-0.036127233793962266,0.44128669581511537
871.0,0.12133262577396446,-0.04791432261408638,-0.03623537222567256,0.472517176764522
